PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40954245","Thiotepa-busulfan-fludarabine compared to clofarabine-based conditioning for haploidentical transplant with posttransplant cyclophosphamide in patients with myeloid malignancies: a retrospective study from the SFGM-TC","Jullien M, Brissot E, Daguindau E, Loschi M, Bazarbachi A, Labussiere-Wallet H, Huynh A, Schmidt-Tanguy A, Charbonnier A, Turlure P, Beckerich F, Devillier R, Bay JO, Srour M, Ceballos P, Alani M, Souchet L, Marchand T, Rubio MT, Forcade E, Cornillon J, Chantepie S, Bulabois CE, Villate A, Garnier A, Peterlin P, Le Bourgeois A, Guillaume T, Chevallier P; Société Francophone de Greffe de Moelle et de Thérapie Cellulaire (SFGM-TC).","Bone Marrow Transplant. 2025 Dec;60(12):1592-1600. doi: 10.1038/s41409-025-02709-9. Epub 2025 Sep 15.","Jullien M","Bone Marrow Transplant","2025","2025/09/15","","","10.1038/s41409-025-02709-9"
"37532126","Human herpesvirus-6 reactivation and disease after allogeneic haematopoietic cell transplantation in the era of letermovir for cytomegalovirus prophylaxis","Kampouri E, Zamora D, Kiem ES, Liu W, Ibrahimi S, Blazevic RL, Lovas EA, Kimball LE, Huang ML, Jerome KR, Ueda Oshima M, Mielcarek M, Zerr DM, Boeckh MJ, Krantz EM, Hill JA.","Clin Microbiol Infect. 2023 Nov;29(11):1450.e1-1450.e7. doi: 10.1016/j.cmi.2023.07.026. Epub 2023 Jul 31.","Kampouri E","Clin Microbiol Infect","2023","2023/08/02","PMC10828110","NIHMS1931751","10.1016/j.cmi.2023.07.026"
"35955881","Post-Transplant Cyclophosphamide after Matched Sibling and Unrelated Donor Hematopoietic Stem Cell Transplantation in Pediatric Patients with Acute Myeloid Leukemia","Sheikh IN, Alqahtani S, Ragoonanan D, Tewari P, Petropoulos D, Mahadeo KM, Popat U, Shpall EJ, Khazal S.","Int J Mol Sci. 2022 Aug 6;23(15):8748. doi: 10.3390/ijms23158748.","Sheikh IN","Int J Mol Sci","2022","2022/08/12","PMC9368975","","10.3390/ijms23158748"
"37182736","Tocilizumab for Cytokine Release Syndrome Management After Haploidentical Hematopoietic Cell Transplantation With Post-Transplantation Cyclophosphamide-Based Graft-Versus-Host Disease Prophylaxis","Yao JM, Otoukesh S, Kim H, Yang D, Mokhtari S, Samara Y, Blackmon A, Arslan S, Agrawal V, Pourhassan H, Amanam I, Ball B, Koller P, Salhotra A, Becker P, Curtin P, Artz A, Aldoss I, Ali H, Stewart F, Smith E, Stein A, Marcucci G, Forman SJ, Nakamura R, Al Malki MM.","Transplant Cell Ther. 2023 Aug;29(8):515.e1-515.e7. doi: 10.1016/j.jtct.2023.05.008. Epub 2023 May 12.","Yao JM","Transplant Cell Ther","2023","2023/05/14","PMC10527340","NIHMS1906348","10.1016/j.jtct.2023.05.008"
"37646153","Mild Acute Graft-Versus-Host Disease Improves Outcomes After HLA-Haploidentical-Related Donor Transplantation Using Posttransplant Cyclophosphamide and Cord Blood Transplantation","Wada F, Kanda J, Kamijo K, Nishikubo M, Yoshioka S, Ishikawa T, Ueda Y, Akasaka T, Arai Y, Izumi K, Hirata H, Ikeda T, Yonezawa A, Anzai N, Watanabe M, Imada K, Yago K, Tamura N, Itoh M, Masuo Y, Kunitomi A, Takeoka T, Kitano T, Arima N, Hishizawa M, Asagoe K, Kondo T, Takaori-Kondo A.","Cell Transplant. 2023 Jan-Dec;32:9636897231194497. doi: 10.1177/09636897231194497.","Wada F","Cell Transplant","2023","2023/08/30","PMC10469234","","10.1177/09636897231194497"
"30194866","Sequential HLA-haploidentical transplantation utilizing post-transplantation cyclophosphamide for GvHD prophylaxis in high-risk and relapsed/refractory AML/MDS","Fraccaroli A, Prevalsek D, Fritsch S, Haebe S, Bücklein V, Schulz C, Hubmann M, Stemmler HJ, Ledderose G, Hausmann A, Schmid C, Tischer J.","Am J Hematol. 2018 Dec;93(12):1524-1531. doi: 10.1002/ajh.25281. Epub 2018 Oct 2.","Fraccaroli A","Am J Hematol","2018","2018/09/09","","","10.1002/ajh.25281"
"37467011","Early cessation of calcineurin inhibitors is feasible post-haploidentical blood stem cell transplant: the ANZHIT 1 study","Moore J, Hamad N, Gottlieb D, Bajel A, Ritchie D, Yeung D, Greenwood M, Purtill D, Tran S, Solterbeck A, Aarons D, Kwan J.","Blood Adv. 2023 Sep 26;7(18):5554-5565. doi: 10.1182/bloodadvances.2023009840.","Moore J","Blood Adv","2023","2023/07/19","PMC10514140","","10.1182/bloodadvances.2023009840"
"39836841","Haploidentical hematopoietic stem cell transplantation using post-transplant cyclophosphamide in patients with inborn errors of immunity: Experience in a reference center in Colombia","Medina D, Castro JO, Castro DE, Beltrán E, Manzi E, Franco AA, Olaya M.","Biomedica. 2024 Dec 23;44(Sp. 2):118-130. doi: 10.7705/biomedica.7560.","Medina D","Biomedica","2024","2025/01/21","PMC12014220","","10.7705/biomedica.7560"
"37248463","Non-T-depleted haploidentical transplantation with post-transplant cyclophosphamide in patients with secondary versus de novo AML in first complete remission: a study from the ALWP/EBMT","Nagler A, Labopin M, Blaise D, Raiola AM, Corral LL, Bramanti S, Sica S, Kwon M, Koc Y, Pavlu J, Kulagin A, Busca A, Rodríguez AB, Reményi P, Schmid C, Brissot E, Sanz J, Bazarbachi A, Giebel S, Ciceri F, Mohty M.","J Hematol Oncol. 2023 May 29;16(1):58. doi: 10.1186/s13045-023-01450-4.","Nagler A","J Hematol Oncol","2023","2023/05/29","PMC10226209","","10.1186/s13045-023-01450-4"
"38552844","Immunosuppression-Free Status at 1 Year after Haploidentical Hematopoietic Cell Transplantation with Post-Transplantation Cyclophosphamide","Solh M, Bashey A, Zhang X, Holland HK, Bachier-Rdriguez L, Morris LE, Solomon SR.","Transplant Cell Ther. 2024 Jun;30(6):607.e1-607.e8. doi: 10.1016/j.jtct.2024.03.025. Epub 2024 Mar 27.","Solh M","Transplant Cell Ther","2024","2024/03/29","","","10.1016/j.jtct.2024.03.025"
