"study_id","first_author","pub_year","country","study_design","single_or_multicenter","enrollment_start_year","enrollment_end_year","follow_up_median_months","primary_for_cohort","cohort_id","total_n","n_arms","comparisons"
410,"Pirogova OV",2016,"Russia","prospective cohort","single","2010","2015","10.7","Y","1161",270,2,"C1"
445,"Raiola AM",2025,"Italy","single arm descriptive excluded","multi","2020","2022","NR","Y","1176",NA,NA,NA
318,"Raj K",2022,"multinational","registry","registry","2014","2017","28","Y","1125",1829,2,"C1"
320,"Redondo S",2023,"Spain","retrospective cohort","single","2009","2021","NR","Y","1126",87,2,"C1"
321,"Redondo S",2024,"Spain","retrospective cohort","single","2012","2022","NR","Y","1127",226,3,"C1"
446,"Redondo S",2025,"Spain","retrospective cohort","single","2017","2024","24","partial","1127",107,2,"C3"
323,"Ru Y",2025,"multinational","retrospective cohort","registry","2010","2022","38.4","partial","1024",116,2,"C1"
324,"Ruggeri A",2017,"multinational","registry","registry","2007","2014","NR","partial","1024",308,2,"C2"
447,"Ruggeri A",2018,"multinational","registry","registry","2007","2015","20","partial","1009",423,3,"C3"
325,"Ruggeri A",2022,"multinational","registry","registry","2013","2018","33","partial","1024",709,2,"C1"
326,"Ruggeri A",2024,"multinational","registry","registry","2011","2021","NR","Y","1128",516,2,"C1"
327,"Saade A",2022,"France","retrospective cohort","single","2016","2019","21.1","Y","1129",409,1,"none"
328,"Sadowska-Klasa A",2024,"USA","retrospective cohort","single","2001","2021","24","Y","1130",2469,2,"C1"
332,"Sahebi",2019,"multinational","registry","registry","2008","2016","24","Y","1131",90,2,"C1"
9,"Salas",2022,"Spain","retrospective cohort","single","2014","2021","25.9","partial","1003",330,2,"C1"
336,"Salas",2024,"multinational","retrospective cohort","registry","2014","2020","54","Y","1133",404,2,"C1"
338,"Salas",2024,"Spain","retrospective cohort","single","2011","2021","24","partial","1003",272,2,"C1"
334,"Salas MQ",2022,"Canada","retrospective cohort","single","2017","2020","NR","Y","1132",651,2,"none"
335,"Salas MQ",2022,"Spain","retrospective cohort","single","2014","2021","25.4","partial","1003",161,2,"C1"
337,"Salas MQ",2024,"Canada","retrospective cohort","single","2011","2021","NR","Y","1134",444,3,"C1"
340,"Saliba RM",2022,"USA","registry","registry","2013","2017","27","Y","1135",3344,2,"C1"
341,"Salinas J",2024,"Chile","retrospective cohort","single","2012","2022","NR","Y","1136",52,3,"none"
343,"Santoro",2017,"multinational","registry","registry","2007","2014","31","partial","1024",208,2,"C1"
344,"Santoro",2018,"multinational","registry","registry","2007","2014","23","partial","1024",2839,2,"C1"
345,"Santoro N",2019,"multinational","registry","registry","2007","2016","28","partial","1024",912,2,"none"
346,"Santos Carreira",2023,"Canada","retrospective cohort","single","2015","2021","25.4","Y","1137",960,1,"none"
450,"Sanz J",2020,"multinational","registry","registry","2010","2017","24","partial","1009",1239,3,"C3"
347,"Sanz MA",2024,"Spain","single arm descriptive excluded","single","1978","2022","NR","N","1038",NA,NA,NA
348,"Sayin S",2024,"Turkey","retrospective cohort","multi","2016","2022","30","Y","1138",90,2,"none"
352,"Seber A",2025,"Brazil","retrospective cohort","registry","2014","2018","NR","Y","1139",595,3,"C1/C2"
353,"Serio B",2024,"Italy","retrospective cohort","multi","2009","2021","NR","Y","1140",40,2,"C2"
10,"Shaffer BC",2024,"United States","registry","registry","2017","2021","36.6","Y","1008",2294,2,"C3"
357,"Sharaf El-Deen MO",2024,"Egypt","prospective cohort","single","2015","2021","12","Y","1141",179,2,"C1"
358,"Shiratori S",2025,"Japan","prospective cohort","multi","2016","2021","23.7","Y","1142",108,2,"C2"
359,"Shouman MT",2023,"Egypt","retrospective cohort","multi","2015","2019","NR","Y","1143",150,2,"C1"
360,"Sijs-Szabo A",2023,"Netherlands","single arm descriptive excluded","multi","2001","2015","NR","Y","NEW_SijsSzabo_2023",NA,NA,NA
361,"Singh",2022,"USA","registry","registry","2012","2017","NR","partial","1001",2765,3,"C2/C3"
363,"Soltermann Y",2019,"Switzerland","retrospective cohort","single","2010","2018","31","Y","1144",80,2,"C2"
453,"Spyridonidis A",2022,"multinational","registry","registry","2010","2019","22.9","partial","1009",572,2,"C3"
364,"Srour SA",2017,"USA/Colombia","retrospective cohort","multi","2005","2015","12.8","Y","1145",109,1,"none"
366,"Steiner N",2024,"Germany","retrospective cohort","single","1993","2023","NR","partial","1086",147,2,"C2"
368,"Sugita J",2022,"Japan","registry","registry","2012","2015","NR","Y","1064",544,2,"C1"
371,"Tang F",2020,"China","retrospective cohort","multi","2013","2018","46.5","Y","1146",220,2,"C1"
374,"Tarella C",2025,"Italy","retrospective cohort","multi","2000","2020","104.4","Y","1147",285,2,"C1"
375,"Tischer J",2015,"Germany","retrospective cohort","single","2006","2011","NR","Y","1148",55,2,"C1"
379,"Ueda Oshima M",2023,"USA","retrospective cohort","single","2007","2018","NR","Y","1149",780,3,"C1"
380,"Ueda Oshima M",2025,"USA","RCT","single","2017","2024","36","Y","1150",145,2,"C1"
382,"Ustun C",2024,"USA","registry","registry","2012","2017","25","partial","1001",2008,2,"C1"
454,"Venugopal N",2025,"USA","retrospective cohort","single","2023","2024","7.5","Y","1177",68,2,"C3"
383,"Villalba M",2026,"multinational","registry","registry","2017","2022","24","partial","1024",702,4,"none"
