arm_id,study_id,arm_label_in_paper,arm_role,comparison_1_eligible,comparison_2_eligible,comparison_3_eligible,n_patients,pct_male,age_median_years,age_iqr_low,age_iqr_high,age_range_min,age_range_max,age_mean_years,age_sd_years,disease_aml_pct,disease_all_pct,disease_mds_pct,disease_mpn_pct,disease_cml_pct,disease_lymphoma_pct,disease_mm_pct,disease_cll_pct,disease_saa_pct,disease_other_pct,disease_risk_high_pct,disease_risk_intermediate_pct,disease_risk_low_pct,disease_risk_classifier_used,donor_msd_pct,donor_mud_pct,donor_mmud_pct,donor_haplo_pct,donor_ucb_pct,donor_predominant,graft_pbsc_pct,graft_bm_pct,graft_ucb_pct,graft_predominant,conditioning_mac_pct,conditioning_ric_pct,conditioning_nma_pct,conditioning_classification_scheme,conditioning_predominant,tbi_used_pct,hla_10_10_pct,hla_9_10_pct,hla_8_10_or_lower_pct,hla_haplo_pct,cmv_recipient_pos_pct,cmv_donor_pos_pct,cmv_DposRpos_pct,cmv_DposRneg_pct,cmv_DnegRpos_pct,cmv_DnegRneg_pct,cmv_serostatus_reporting,ptcy_used,ptcy_dose_mg_kg_per_dose,ptcy_n_doses,ptcy_days_post_transplant,ptcy_total_dose_mg_kg,ptcy_dose_category,cni_used,cni_agent,cni_target_trough_ng_ml_range,mmf_used,mmf_total_daily_dose_mg,mtx_used,mtx_schedule,mtx_total_dose_mg_m2,sirolimus_used,abatacept_used,other_immunosuppressant_used,other_immunosuppressant_description,atg_used,atg_agent,atg_total_dose_mg_kg,atg_dose_category,atg_timing,letermovir_use,letermovir_era_proxy,antifungal_prophylaxis_agent,antifungal_mold_active,antifungal_duration_target,antibacterial_prophylaxis_agent,pjp_prophylaxis_agent,cmv_monitoring_method,cmv_monitoring_frequency_per_week,cmv_preemptive_threshold,systemic_steroid_for_gvhd_exposure_pct,steroid_exposure_duration_days_median,second_line_gvhd_therapy_exposure_pct
91,77,UD 10/10,comparator_arm,Y,N,N,1111,52.9,52.4,NR,NR,18.1,77.3,NR,NR,100,0,0,0,0,0,0,0,0,0,30,59.8,10.2,investigator_defined,0,100,0,0,0,MUD,93.5,6.5,0,PBSC,41.9,34.3,0,EBMT,mixed,NR,100,0,0,0,63.3,42.1,34.5,7.6,28.8,29.1,DR_combinations,N,NA,NA,NA,NA,NA,Y,mixed,NR,Y,NR,Y,NR,NR,NR,N,NR,"GvHD prophylaxis: CSA+MTX 30%, CSA+MMF 44.6%, Tac+MMF 5%, CSA+MMF+MTX 2%, PTCy 2.3% (subset)",mixed,NR,NR,NR,pre_transplant,NR,pre_2018,NR,NR,NR,NR,NR,NR,NR,NR,30.6,NR,NR
92,77,UD 9/10,comparator_arm,Y,N,N,383,54.6,51.7,NR,NR,18,76,NR,NR,100,0,0,0,0,0,0,0,0,0,29.8,60.9,9.300000000000001,investigator_defined,0,0,100,0,0,MMUD,92.2,7.8,0,PBSC,37.7,33.5,0,EBMT,mixed,NR,0,100,0,0,65.40000000000001,40.8,30.5,10.3,34.9,24.2,DR_combinations,N,NA,NA,NA,NA,NA,Y,mixed,NR,Y,NR,Y,NR,NR,NR,N,NR,"GvHD prophylaxis: CSA+MTX 29.7%, CSA+MMF 42.4%, Tac+MMF 7.1%, CSA+MMF+MTX 2.9%, PTCy 2%",mixed,NR,NR,NR,pre_transplant,NR,pre_2018,NR,NR,NR,NR,NR,NR,NR,NR,36.3,NR,NR
93,78,PTCY,PTCy_arm,N,Y,N,174,56.32,46,34.7,59.3,18,74.2,NR,NR,100,0,0,0,0,0,0,0,0,0,20.11,45.98,2.3,investigator_defined,0,100,0,0,0,MUD,89.66,10.34,0,PBSC,43.68,56.32,0,EBMT,RIC,NR,100,0,0,0,74.84999999999999,NR,NR,NR,NR,NR,R_only,Y,NR,NR,NR,NR,NR,Y,NR,NR,NR,NR,NR,NR,NR,NR,N,NR,"55% of PTCy patients received 2 or 3 additional immunosuppressive agents (Supp Table S1, not detailed in main text)",N,NA,NA,NA,NA,NR,mixed_spans_era,NR,NR,NR,NR,NR,NR,NR,NR,28.8,NR,NR
94,78,ATG,comparator_arm,N,Y,N,1452,52.27,56,44.3,62.6,18.1,77.5,NR,NR,100,0,0,0,0,0,0,0,0,0,20.04,50.96,4.06,investigator_defined,0,100,0,0,0,MUD,90.15000000000001,9.85,0,PBSC,47.31,52.69,0,EBMT,RIC,NR,100,0,0,0,65.08,NR,NR,NR,NR,NR,R_only,N,NA,NA,NA,NA,NA,Y,NR,NR,NR,NR,NR,NR,NR,NR,N,NR,"85% of ATG patients received 2 or 3 additional immunosuppressive agents (Supp Table S1, not detailed in main text)",Y,rabbit_thymoglobulin,5,standard_4.5_to_10_rabbit,pre_transplant,NR,mixed_spans_era,NR,NR,NR,NR,NR,NR,NR,NR,29.2,NR,NR
95,79,PTCy,PTCy_arm,N,Y,N,44,68.2,64.40000000000001,57.5,66.5,36,71.09999999999999,NR,NR,47.7,4.5,18.2,2.3,NR,18.2,2.3,2.3,NR,4.5,NR,NR,NR,NR,38.6,61.4,0,0,0,MUD,100,0,0,PBSC,0,100,0,investigator_defined,RIC,0,100,0,0,0,56.8,41.9,NR,NR,NR,NR,DR_combinations,Y,50,2,"+3,+4",100,standard_50x2,Y,cyclosporine,200-400,Y,2000,N,NA,NA,N,N,N,NA,N,NA,NA,NA,NA,NR,mixed_spans_era,NR,NR,NR,NR,NR,NR,NR,NR,36.4,NR,NR
96,79,ATG,comparator_arm,N,Y,N,37,70.3,64.3,59.4,67.59999999999999,21.3,70.7,NR,NR,45.9,5.4,21.6,5.4,NR,13.5,8.1,0,NR,0,NR,NR,NR,NR,40.5,59.5,0,0,0,MUD,100,0,0,PBSC,0,100,0,investigator_defined,RIC,0,100,0,0,0,47.2,42.9,NR,NR,NR,NR,DR_combinations,N,NA,NA,NA,NA,NA,Y,cyclosporine,200-400,Y,2000,N,NA,NA,N,N,N,NA,Y,rabbit_thymoglobulin,5,standard_4.5_to_10_rabbit,pre_transplant,NR,mixed_spans_era,NR,NR,NR,NR,NR,NR,NR,NR,24.3,NR,NR
97,80,PT-Cy/CsA,PTCy_arm,N,N,N,99,66.7,57,NR,NR,20,70,NR,NR,30.3,10.1,8.1,3,5.1,24.2,7.1,6.1,0,6.1,NR,NR,NR,NR,30.3,69.7,0,0,0,MUD,96,4,0,PBSC,0,1,99,investigator_defined,NMA,NR,NR,NR,NR,0,NR,NR,39.4,8.1,18.2,34.3,DR_combinations,Y,50,2,"+3,+4",100,standard_50x2,Y,cyclosporine,250-350,N,NA,N,NA,NA,N,N,N,NA,N,NA,NA,NA,NA,era_proxy_only,mixed_spans_era,NR,NR,NR,NR,NR,NR,NR,NR,30,NR,NR
98,80,CsA/MPA,comparator_arm,N,N,N,52,63.5,58,NR,NR,26,70,NR,NR,26.9,13.5,15.4,1.9,1.9,23.1,3.8,3.8,0,9.6,NR,NR,NR,NR,32.7,67.3,0,0,0,MUD,100,0,0,PBSC,3.8,1.9,94.2,investigator_defined,NMA,NR,NR,NR,NR,0,NR,NR,30.8,15.4,13.5,40.4,DR_combinations,N,NA,NA,NA,NA,NA,Y,cyclosporine,250-350,Y,4320,N,NA,NA,N,N,N,NA,N,NA,NA,NA,NA,era_proxy_only,mixed_spans_era,NR,NR,NR,NR,NR,NR,NR,NR,48,NR,NR
99,83,Standard aGVHD prophylaxis (calcineurin inhibitor-based),comparator_arm,N,N,N,89,43.8,6,NR,NR,0.75,21,NR,NR,0,0,0,0,0,0,0,0,34.8,65.2,NR,NR,NR,NA,16.9,NR,NR,7.9,0,MUD,36,60.7,0,BM,20.2,80.90000000000001,NR,investigator_defined,RIC,NR,NR,NR,NR,7.9,NR,NR,NR,NR,NR,NR,NR,N,NA,NA,NA,NA,NA,Y,NR,NR,NR,NR,NR,NR,NR,NR,N,NR,NR,NR,NR,NR,NR,NR,none,pre_2018,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
100,83,"Post-transplant Cy-based prophylaxis (PtCy 50 mg/kg D+3, D+4)",PTCy_arm,N,N,N,29,65.5,3.6,NR,NR,0.75,27,NR,NR,0,0,0,0,0,0,0,0,17.2,82.8,NR,NR,NR,NA,13.8,NR,NR,37.9,0,mixed,31,51.7,0,BM,51.7,44.8,NR,investigator_defined,mixed,NR,NR,NR,NR,37.9,NR,NR,NR,NR,NR,NR,NR,Y,50,2,"+3,+4",100,standard_50x2,NR,NR,NR,NR,NR,NR,NR,NR,NR,N,NR,NR,NR,NR,NR,NR,NR,none,pre_2018,NR,NR,NR,NR,NR,NR,NR,NR,26,NR,NR
101,86,PTCy MMUD,PTCy_arm,Y,Y,N,22,41,60,50,62,NR,NR,NR,NR,NR,NR,14,NR,NR,9,NR,NR,NR,5,NR,NR,NR,NR,0,0,100,0,0,MMUD,9,91,0,BM,14,86,NR,investigator_defined,RIC,NR,NR,NR,NR,0,91,55,45,9,45,0,DR_combinations,Y,50,2,"+3,+4",100,standard_50x2,Y,mixed,tacrolimus 5-10 ng/mL or sirolimus 3-12 ng/mL,Y,NR,N,NA,NA,Y,N,N,NA,N,NA,NA,NA,NA,select_high_risk,mixed_spans_era,mixed,mixed,NR,fluoroquinolone,mixed,PCR_qPCR,2,CMV DNA >200 IU/mL,18,NR,NR
102,86,ATG MMUD,comparator_arm,Y,Y,N,37,41,54,39,63,NR,NR,NR,NR,NR,NR,27,NR,NR,14,NR,NR,NR,8,NR,NR,NR,NR,0,0,100,0,0,MMUD,73,27,0,PBSC,22,78,NR,investigator_defined,RIC,NR,NR,NR,NR,0,92,57,51,5,41,3,DR_combinations,N,NA,NA,NA,NA,NA,Y,tacrolimus,5-10 ng/mL,N,NA,Y,"5-15 mg IV on days 1, 3, 6, 11",NR,N,N,N,NA,Y,rabbit_thymoglobulin,5-7.5,standard_4.5_to_10_rabbit,pre_transplant,select_high_risk,mixed_spans_era,mixed,mixed,NR,fluoroquinolone,mixed,PCR_qPCR,2,CMV DNA >200 IU/mL,32,NR,NR
103,86,PTCy haploidentical,PTCy_arm,N,N,N,19,53,48,46,59,NR,NR,NR,NR,NR,NR,11,NR,NR,21,NR,NR,NR,21,NR,NR,NR,NR,0,0,0,100,0,haplo,89,11,0,PBSC,5,95,NR,investigator_defined,RIC,NR,0,NR,NR,100,79,47,42,5,37,16,DR_combinations,Y,50,2,"+3,+4",100,standard_50x2,Y,mixed,tacrolimus 5-10 ng/mL or sirolimus 3-12 ng/mL,Y,NR,N,NA,NA,Y,N,N,NA,N,NA,NA,NA,NA,select_high_risk,mixed_spans_era,mixed,mixed,NR,fluoroquinolone,mixed,PCR_qPCR,2,CMV DNA >200 IU/mL,37,NR,NR
104,88,Modified ATG-PTCy group,PTCy_arm,Y,N,N,40,47.5,46,NR,NR,18,68,NR,NR,85,0,15,0,0,0,0,0,0,0,72.5,22.5,5,investigator_defined,0,0,0,100,0,haplo,100,0,0,PBSC,100,0,0,investigator_defined,MAC,0,0,0,0,100,NR,NR,NR,NR,NR,NR,NR,Y,50,1,+3,50,single_dose,Y,cyclosporine,150-250,Y,1000,N,NA,NA,N,N,N,NA,Y,rabbit_thymoglobulin,7.5,standard_4.5_to_10_rabbit,pre_transplant,none,mixed_spans_era,mixed,Y,NR,other,TMP_SMX,PCR_qPCR,2,NR,15,NR,NR
